rank,model,method,lr,init,momentum,cv_mse,cv_r2,diverged,mean_epochs
128,normal,batch,0.0001,zeros,0.9,131.723814182912,-227.77515244694177,0.0,100.0
129,lasso,batch,0.0001,zeros,0.9,131.7266877081978,-227.78013079841003,0.0,100.0
130,ridge,batch,0.0001,zeros,0.9,131.72899827098735,-227.78415141556493,0.0,100.0
131,polynomial,batch,0.0001,xavier,0.9,131.8093075629894,-227.91984428318952,0.0,100.0
132,normal,batch,0.0001,xavier,0.9,132.32408273024163,-228.80721520670144,0.0,100.0
133,lasso,batch,0.0001,xavier,0.9,132.3252185660919,-228.80919776148397,0.0,100.0
134,ridge,batch,0.0001,xavier,0.9,132.32987358290092,-228.81736237844885,0.0,100.0
135,polynomial,batch,0.0001,zeros,0.0,162.15028907367736,-280.614357714682,0.0,100.0
136,normal,batch,0.0001,zeros,0.0,162.1794710479062,-280.66376094246215,0.0,100.0
137,ridge,batch,0.0001,zeros,0.0,162.17956039653964,-280.6639160450599,0.0,100.0
138,lasso,batch,0.0001,zeros,0.0,162.17983926365415,-280.66439904617175,0.0,100.0
139,polynomial,batch,0.0001,xavier,0.0,162.60894441275843,-281.39324814170675,0.0,100.0
140,normal,batch,0.0001,xavier,0.0,162.8858931519854,-281.87622160173095,0.0,100.0
141,lasso,batch,0.0001,xavier,0.0,162.88596079919375,-281.87634011617666,0.0,100.0
142,ridge,batch,0.0001,xavier,0.0,162.8860598970071,-281.8765236078067,0.0,100.0
143,polynomial,sto,0.01,xavier,0.9,,,1.0,2.0
144,polynomial,sto,0.01,zeros,0.9,,,1.0,2.0
